#module;#attribute
IUP::Matrix;VALUE
IUP::Matrix;WIDTH
IUP::Matrix;WIDTHDEF
IUP::Menu;BGCOLOR
IUP::Menu;FLAT_ALPHA
IUP::Menu;HIDEMARK
IUP::Menu;IMAGE
IUP::Menu;IMPRESS
IUP::Menu;RADIO
IUP::Menu;TITLE
IUP::Menu;TITLEIMAGE
IUP::Menu;VALUE
IUP::MessageDlg;BUTTONDEFAULT
IUP::MessageDlg;BUTTONRESPONSE
IUP::MessageDlg;BUTTONS
IUP::MessageDlg;DIALOGTYPE
IUP::MessageDlg;VALUE
IUP::Normalizer;ADDCONTROL
IUP::Normalizer;ADDCONTROL_HANDLE
IUP::Normalizer;NORMALIZE
IUP::OleControl;BGCOLOR
IUP::OleControl;DESIGNMODE
IUP::OleControl;DESIGNMODE_DONT_NOTIFY
IUP::OleControl;IUNKNOWN
IUP::OleControl;PROGID
IUP::PPlot;AXS_XAUTOMAX
IUP::PPlot;AXS_XAUTOMIN
IUP::PPlot;AXS_XAUTOTICK
IUP::PPlot;AXS_XAUTOTICKSIZE
IUP::PPlot;AXS_XCOLOR
IUP::PPlot;AXS_XCROSSORIGIN
IUP::PPlot;AXS_XFONTSIZE
IUP::PPlot;AXS_XFONTSTYLE
IUP::PPlot;AXS_XLABEL
IUP::PPlot;AXS_XLABELCENTERED
IUP::PPlot;AXS_XMAX
IUP::PPlot;AXS_XMIN
IUP::PPlot;AXS_XREVERSE
IUP::PPlot;AXS_XSCALE
IUP::PPlot;AXS_XTICK
IUP::PPlot;AXS_XTICKDIVISION
IUP::PPlot;AXS_XTICKFONTSIZE
IUP::PPlot;AXS_XTICKFONTSTYLE
IUP::PPlot;AXS_XTICKFORMAT
IUP::PPlot;AXS_XTICKMAJORSIZE
IUP::PPlot;AXS_XTICKMAJORSPAN
IUP::PPlot;AXS_XTICKSIZE
IUP::PPlot;AXS_YAUTOMAX
IUP::PPlot;AXS_YAUTOMIN
IUP::PPlot;AXS_YAUTOTICK
IUP::PPlot;AXS_YAUTOTICKSIZE
IUP::PPlot;AXS_YCOLOR
IUP::PPlot;AXS_YCROSSORIGIN
IUP::PPlot;AXS_YFONTSIZE
IUP::PPlot;AXS_YFONTSTYLE
IUP::PPlot;AXS_YLABEL
IUP::PPlot;AXS_YLABELCENTERED
IUP::PPlot;AXS_YMAX
IUP::PPlot;AXS_YMIN
IUP::PPlot;AXS_YREVERSE
IUP::PPlot;AXS_YSCALE
IUP::PPlot;AXS_YTICK
IUP::PPlot;AXS_YTICKDIVISION
IUP::PPlot;AXS_YTICKFONTSIZE
IUP::PPlot;AXS_YTICKFONTSTYLE
IUP::PPlot;AXS_YTICKFORMAT
IUP::PPlot;AXS_YTICKMAJORSIZE
IUP::PPlot;AXS_YTICKMAJORSPAN
IUP::PPlot;AXS_YTICKSIZE
IUP::PPlot;BGCOLOR
IUP::PPlot;CLEAR
IUP::PPlot;COUNT
IUP::PPlot;CURRENT
IUP::PPlot;DS_COLOR
IUP::PPlot;DS_EDIT
IUP::PPlot;DS_LEGEND
IUP::PPlot;DS_LINESTYLE
IUP::PPlot;DS_LINEWIDTH
IUP::PPlot;DS_MARKSIZE
IUP::PPlot;DS_MARKSTYLE
IUP::PPlot;DS_MODE
IUP::PPlot;DS_REMOVE
IUP::PPlot;DS_SHOWVALUES
IUP::PPlot;FGCOLOR
IUP::PPlot;GRID
IUP::PPlot;GRIDCOLOR
IUP::PPlot;GRIDLINESTYLE
IUP::PPlot;LEGENDFONTSIZE
IUP::PPlot;LEGENDFONTSTYLE
IUP::PPlot;LEGENDPOS
IUP::PPlot;LEGENDSHOW
IUP::PPlot;MARGINBOTTOM
IUP::PPlot;MARGINLEFT
IUP::PPlot;MARGINRIGHT
IUP::PPlot;MARGINTOP
IUP::PPlot;REDRAW
IUP::PPlot;REMOVE
IUP::PPlot;TITLE
